 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
 1.6510273  0.9972650   7.71  42.62 0.161265 10077   1.6511111  0.9977778  54.74 1
 1.6511060  0.9979043   1.72   9.92 0.227326 10077   1.6511111  0.9977778  54.74 0
 0.6487311  0.1315480   6.24  25.71 0.907257 10051   0.6488889  0.1311111  54.79 1
 0.6487004  0.1302177   5.18  21.22 0.907247 10051   0.6488889  0.1311111  54.79 0
 1.7279854  0.6900522  11.18  50.86 0.671952 10067   1.7277778  0.6900000  54.92 1
 0.3133296 -0.0102881  10.12  54.88 0.068325 10045   0.3133333 -0.0100000  55.01 1
-1.2740701  1.5013673   7.65  23.07 2.261708 10085  -1.2755556  1.5000000  55.12 1
-0.3410489  2.3618541  10.30  62.08 0.153856 10104  -0.3411111  2.3611111  55.67 1
 2.4145966 -0.5252529   4.65  14.49 2.096144 10036   2.4144444 -0.5244444  56.13 1
 2.4148138 -0.5237745  11.84  49.83 0.868873 10036   2.4144444 -0.5244444  56.13 0
-0.6553636  1.5720320  12.98  58.17 0.474980 10087  -0.6544444  1.5722222  56.25 1
-0.6598201 -1.9163452   9.76  58.79 0.077011 10006  -0.6600000 -1.9166667  56.39 1
-1.3207291  0.7048582  10.78  47.83 0.582586 10068  -1.3211111  0.7044444  56.55 1
-1.3211420  0.7051761   1.92   7.06 1.786773 10068  -1.3211111  0.7044444  56.55 0
-0.4272255  2.0299687   3.20  10.10 1.862133 10100  -0.4277778  2.0322222  56.66 1
-0.4271022  2.0329611   9.70  56.26 0.163314 10100  -0.4277778  2.0322222  56.66 0
-0.7257130 -0.3796317   1.35   3.13 2.787351 10039  -0.7277778 -0.3788889  57.00 1
-0.7281469 -0.3790410  14.28  63.33 0.713133 10039  -0.7277778 -0.3788889  57.00 0
-1.7024117  0.3788581  14.34  57.29 1.058707 10060  -1.7022222  0.3788889  57.07 1
-0.0956640  1.4505448  13.23  62.77 0.314670 10083  -0.0966667  1.4500000  57.07 1
 1.2560920  0.5939639  13.17  58.92 0.636452 10065   1.2555556  0.5944444  57.09 1
 0.0072732  2.2152636  14.11  52.32 1.362761 10102   0.0066667  2.2155556  57.29 1
-0.3277933  1.6949016  12.14  60.01 0.264183 10095  -0.3277778  1.6944444  57.66 1
 0.0458091  0.6011890  15.57  60.93 1.036533 10066   0.0455556  0.6011111  57.88 1
-2.1729777  0.1196555  13.96  60.99 0.769435 10050  -2.1733333  0.1200000  58.32 1
 0.9944410  0.2984446  11.93  52.24 0.388132 10057   0.9944444  0.2988889  59.10 1
 0.9953274  0.2968290   2.14   9.14 0.801878 10057   0.9944444  0.2988889  59.10 0
-1.4530621 -1.6938931   9.93  57.66 0.142131 10016  -1.4533333 -1.6944444  59.11 1
-1.5051864 -1.7815359  10.69  62.84 0.150054 10010  -1.5055556 -1.7822222  60.29 1
 1.1104258 -0.2505654  14.02  59.09 0.738159 10043   1.1100000 -0.2511111  60.54 1
-0.1760644  0.0918017  13.79  68.63 0.235928 10048  -0.1766667  0.0911111  60.86 1
 1.9256442  0.3023321  14.79  60.66 1.093584 10058   1.9255556  0.3022222  61.19 1
-1.9916403 -0.0904096  12.76  62.31 0.185683 10044  -1.9922222 -0.0911111  61.53 1
-1.0414263  0.2886695   2.13   4.26 3.802948 10056  -1.0411111  0.2900000  61.63 1
-1.0410814  0.2906916  12.92  46.92 1.299582 10056  -1.0411111  0.2900000  61.63 0
-0.6814880 -2.2185419  10.60  62.65 0.077590 10001  -0.6811111 -2.2188889  61.66 1
 1.9600585  1.4591334  13.81  68.53 0.274359 10084   1.9600000  1.4588889  62.79 1
